"","alpha","gamma","luce"
"luce",-0.00379143004210962,0.00054133663406766,0.00967905015497399
"alpha",0.0110970656946908,-0.00157878936424041,-0.00431066355276677
"gamma",-0.00157878936424041,0.0191768048417039,0.000885101536803798
"luce",-0.00431066355276677,0.000885101536803798,0.0124343104540076
"alpha",0.0279204420046266,0.000383856877674387,-0.0298499555754225
"gamma",0.000383856877674387,0.0036740299402783,0.00162968051284296
"luce",-0.0298499555754225,0.00162968051284296,0.0414628929509131
"alpha",0.0476173862569622,0.000622365266403213,-0.0460895707363594
"gamma",0.000622365266403213,0.00372380771208595,0.00113720858403893
"luce",-0.0460895707363594,0.00113720858403893,0.0541798122622636
"alpha",0.0438219868969192,-0.000325349745337366,-0.0405566881922672
"gamma",-0.000325349745337366,0.0035828184642103,0.00544250431058058
"luce",-0.0405566881922672,0.00544250431058058,0.0562046766452148
"alpha",0.00968086698100091,-0.00119938017003652,-0.00958871987897087
"gamma",-0.00119938017003652,0.00207661218957393,0.000986291082042295
"luce",-0.00958871987897087,0.000986291082042295,0.0194357736472614
"alpha",0.0206804837305214,-0.00442358324592673,-0.0123555372995653
"gamma",-0.00442358324592673,0.0144406798513601,0.0010278582277215
"luce",-0.0123555372995653,0.0010278582277215,0.0139431032042893
"alpha",0.0366782997518339,-0.00602185747246969,-0.0268865849821752
"gamma",-0.00602185747246969,0.0129969251150875,0.00267887516699395
"luce",-0.0268865849821752,0.00267887516699395,0.0310976972011851
"alpha",0.0179749944682935,-0.000830565050352253,-0.0200504723753574
"gamma",-0.000830565050352253,0.00091339802574933,0.0019854116633584
"luce",-0.0200504723753574,0.0019854116633584,0.0349197894027541
"alpha",0.0463098749253133,0.000188149016617457,-0.0394450459917664
"gamma",0.000188149016617457,0.0025935218056925,0.00349693077105435
"luce",-0.0394450459917664,0.00349693077105435,0.0487663528882954
"alpha",0.0194736751836668,-0.00325300917160932,-0.0199294364850174
"gamma",-0.00325300917160932,0.0107761121119814,0.00176551739954281
"luce",-0.0199294364850174,0.00176551739954281,0.0360930970673585
"alpha",0.005156828939309,-0.000773441862450057,-0.00480852524853368
"gamma",-0.000773441862450057,0.00215969483717355,0.000632228337003062
"luce",-0.00480852524853368,0.000632228337003062,0.0121216232434076
"alpha",0.0143317981832199,-0.00122401556792916,-0.0108350037115454
"gamma",-0.00122401556792916,0.0116790867048839,-0.000313352762004904
"luce",-0.0108350037115454,-0.000313352762004904,0.0144788882443743
"alpha",0.0233367822275791,0.00046810692812338,-0.0252471925836328
