"","alpha","gamma","luce"
"gamma",-0.0293595375985932,0.0979551555932396,-0.00761631191384835
"luce",0.00311452378972091,-0.00761631191384835,0.0811429111339488
"alpha",0.0507872089598645,-0.0253613746811952,-0.00798577400516527
"gamma",-0.0253613746811952,0.0376540501715393,-0.0030844729915938
"luce",-0.00798577400516527,-0.0030844729915938,0.0801318644169735
"alpha",0.0192273198551361,-0.00108448333091741,-0.0156307427428974
"gamma",-0.00108448333091741,0.0494437445513532,-0.00124929529176522
"luce",-0.0156307427428974,-0.00124929529176522,0.0843644263619093
"alpha",0.0530915241273084,-0.0304082026045212,-0.00311300310938502
"gamma",-0.0304082026045212,0.0925266370500048,-0.00153401776094388
"luce",-0.00311300310938502,-0.00153401776094388,0.0822450066161112
"alpha",0.0688359626920472,-0.0388558781896452,0.0019494964556303
"gamma",-0.0388558781896452,0.0896733763930048,-0.0109916841065932
"luce",0.0019494964556303,-0.0109916841065932,0.0822887129912078
"alpha",0.0414963468895347,-0.0257538152806463,-0.0069317317253783
"gamma",-0.0257538152806463,0.0898221800628921,0.000956432340542834
"luce",-0.0069317317253783,0.000956432340542834,0.0838780604332958
"alpha",0.0441437382260021,-0.0282878052029442,-0.00410226341013453
"gamma",-0.0282878052029442,0.0818276137652639,-0.000891947350091843
"luce",-0.00410226341013453,-0.000891947350091843,0.0821357697107919
"alpha",0.0545404201274967,-0.0321251507589641,-0.0071372188871013
"gamma",-0.0321251507589641,0.0687477192534887,-0.00339210616678732
"luce",-0.0071372188871013,-0.00339210616678732,0.0829151527673362
"alpha",0.0442257496791194,-0.0280939847703101,-0.00608097182416991
"gamma",-0.0280939847703101,0.070800412891638,-0.000911611162106244
"luce",-0.00608097182416991,-0.000911611162106244,0.0815537265220613
"alpha",0.0634794547566376,-0.0341453841492598,-0.00676172301468968
"gamma",-0.0341453841492598,0.0698288103035132,-0.0014890586217944
"luce",-0.00676172301468968,-0.0014890586217944,0.0799770765245568
"alpha",0.0358359535491992,-0.0198571983058267,-0.00599175895299158
"gamma",-0.0198571983058267,0.0663509511546841,-0.00132329776600394
"luce",-0.00599175895299158,-0.00132329776600394,0.0816295238910743
"alpha",0.057812362890321,-0.0376380016591645,-0.00361225947587145
"gamma",-0.0376380016591645,0.0935323272345325,-0.00277156289183895
"luce",-0.00361225947587145,-0.00277156289183895,0.0852360331445807
"alpha",0.00581650089540645,-0.00248506498272451,-0.0065091089540073
"gamma",-0.00248506498272451,0.0151966625523711,0.00141920361189447
"luce",-0.0065091089540073,0.00141920361189447,0.0596273270340014
"alpha",0.0292693850218762,-0.0155142376904709,-0.0167073485272245
"gamma",-0.0155142376904709,0.0315696324817393,-0.00366230624733095
"luce",-0.0167073485272245,-0.00366230624733095,0.0834823343523148
"alpha",0.0486442501573216,-0.0264059995337701,-0.0059293939294922
"gamma",-0.0264059995337701,0.0754397249264576,-0.00298685818915579
"luce",-0.0059293939294922,-0.00298685818915579,0.0834778232383326
"alpha",0.0443987963990549,-0.0220690925458304,-0.00461516518607106
"gamma",-0.0220690925458304,0.0669132430647615,-0.00670461985496437
"luce",-0.00461516518607106,-0.00670461985496437,0.0838406943941069
"alpha",0.0445854360780459,-0.0286182027583849,-0.00116686550245992
"gamma",-0.0286182027583849,0.0807066310202304,-0.00473530199724605
"luce",-0.00116686550245992,-0.00473530199724605,0.0803921505545654
"alpha",0.0204337009166832,0.00111746656619757,-0.0093254679316402
"gamma",0.00111746656619757,0.0525697682745841,0.00643503729175189
"luce",-0.0093254679316402,0.00643503729175189,0.0831275034922838
"alpha",0.0151241617320243,0.000835544601041221,-0.0173969163528623
"gamma",0.000835544601041221,0.0424608581276949,-0.000982847976501902
"luce",-0.0173969163528623,-0.000982847976501902,0.0803953662817332
"alpha",0.0115747793898671,0.00018773396183597,-0.0172178837314475
"gamma",0.00018773396183597,0.0248395254179472,0.00368221269525553
"luce",-0.0172178837314475,0.00368221269525553,0.0819869530278528
"alpha",0.0473369624023889,-0.028232794006165,-0.00609036592422548
"gamma",-0.028232794006165,0.0836170134496148,-0.00163172744785625
"luce",-0.00609036592422548,-0.00163172744785625,0.0848009739551472
"alpha",0.0446434141876778,-0.0230381367337141,-0.00362993041693534
"gamma",-0.0230381367337141,0.0658469232659553,-0.00339425383844854
"luce",-0.00362993041693534,-0.00339425383844854,0.086135891190772
"alpha",0.0398256607643197,-0.0209070899903516,-0.00688620491474502
"gamma",-0.0209070899903516,0.0654421739702014,-0.0062115010260524
"luce",-0.00688620491474502,-0.0062115010260524,0.0839067137870865
"alpha",0.0591658206718294,-0.0359476310592787,-0.00604326247331301
"gamma",-0.0359476310592787,0.0831806644958593,-0.00119293230676917
"luce",-0.00604326247331301,-0.00119293230676917,0.0849647949778258
"alpha",0.0167753009386016,0.00189079934777909,-0.0170856091663625
"gamma",0.00189079934777909,0.0307928403653512,-0.00388052993422954
"luce",-0.0170856091663625,-0.00388052993422954,0.0687687794624902
"alpha",0.0520745134375062,-0.0377775841747001,0.00191768661495277
"gamma",-0.0377775841747001,0.109736259735852,-0.00608664416763184
"luce",0.00191768661495277,-0.00608664416763184,0.0864578946261813
"alpha",0.0243850554693753,-0.00610705212778767,-0.0193937350534918
"gamma",-0.00610705212778767,0.0575155705369069,-0.00560164145003434
"luce",-0.0193937350534918,-0.00560164145003434,0.0780289428244887
"alpha",0.017775625067026,-0.0114622551504766,-0.0135691309948068
"gamma",-0.0114622551504766,0.0259304741314172,-0.000341500865867166
"luce",-0.0135691309948068,-0.000341500865867166,0.0780491043410845
"alpha",0.0375244397519247,-0.0238201273909778,-0.00718860482117145
"gamma",-0.0238201273909778,0.100483155569671,0.000439076087616633
"luce",-0.00718860482117145,0.000439076087616633,0.081151413326463
"alpha",0.0118509123249926,-0.00447435989074212,-0.00677601997533414
"gamma",-0.00447435989074212,0.00542857588348522,-0.00416967373783031
"luce",-0.00677601997533414,-0.00416967373783031,0.074903930528022
"alpha",0.0566763571718212,-0.0363950383601362,-0.00302850852986359
"gamma",-0.0363950383601362,0.101679887436815,-0.00399352168330428
"luce",-0.00302850852986359,-0.00399352168330428,0.0821018763054956
"alpha",0.0463773130631628,-0.0293043908226237,-0.00678531162043475
"gamma",-0.0293043908226237,0.0729270657054409,-0.00183286695195679
"luce",-0.00678531162043475,-0.00183286695195679,0.0857051349555824
"alpha",0.0429707187586094,-0.0278313232853653,-0.00495491981917307
"gamma",-0.0278313232853653,0.0871281700035005,0.000613483098904647
"luce",-0.00495491981917307,0.000613483098904647,0.0848103717868399
"alpha",0.0418779898615393,-0.0261659307399673,-0.00805728633058976
"gamma",-0.0261659307399673,0.108345480941325,-0.000225068008940411
"luce",-0.00805728633058976,-0.000225068008940411,0.0837209028558426
"alpha",0.04827760817781,-0.0269507098663067,-0.00752525742127148
"gamma",-0.0269507098663067,0.0700363759213008,-0.00469072419723973
"luce",-0.00752525742127148,-0.00469072419723973,0.0842002924005708
"alpha",0.0043323814285977,0.000390687321042622,-0.00382780091842546
"gamma",0.000390687321042622,0.0106058713385285,0.00252922603248545
"luce",-0.00382780091842546,0.00252922603248545,0.06820383721093
"alpha",0.0715207262202671,-0.0418250482851881,0.0020454509069331
"gamma",-0.0418250482851881,0.0903520077771954,-0.0119797641290693
"luce",0.0020454509069331,-0.0119797641290693,0.0879331059770251
"alpha",0.0248928617709722,-0.00852890069658617,-0.00987427833039247
"gamma",-0.00852890069658617,0.064660798138833,-0.000683394227322811
"luce",-0.00987427833039247,-0.000683394227322811,0.0796956672333613
"alpha",0.0307082430332166,-0.0130829400627161,-0.011581078392224
"gamma",-0.0130829400627161,0.0333360589558364,-0.00402461341055043
"luce",-0.011581078392224,-0.00402461341055043,0.0758987948611047
"alpha",0.0450502642577895,-0.0246469187418413,-0.00952284777409765
"gamma",-0.0246469187418413,0.0616091681399281,-0.00352333597377915
"luce",-0.00952284777409765,-0.00352333597377915,0.0848809470230328
"alpha",0.0325700353541181,-0.00892801646913235,-0.0106785779778227
"gamma",-0.00892801646913235,0.0861814148753298,0.0059839301495066
"luce",-0.0106785779778227,0.0059839301495066,0.0815593635972356
"alpha",0.00364255810986685,-0.00193475407763972,-0.00195253660016815
"gamma",-0.00193475407763972,0.00853002850515671,-0.00218110009369421
"luce",-0.00195253660016815,-0.00218110009369421,0.0650231453008557
