"","lambda","sd","2.5%","25%","50%","75%","97.5%"
"lambdaTemp",2.88596553425571,1.14953585444342,1.10468863625084,1.9156535374092,2.79823184793031,3.84150322931645,4.89932803625461
"lambdaTemp",2.9801279700447,1.16912446527977,1.10430083588458,1.95253105280091,2.96561732907555,4.0115793040022,4.90416294917022
"lambdaTemp",3.64538757474799,1.00686628567532,1.36293675216325,2.94558382236166,3.85477817174062,4.50086754122166,4.95564381259465
"lambdaTemp",2.80784133477565,1.14716659186867,1.09098982834596,1.78825293365606,2.70167267612469,3.76904696461866,4.85059339705294
"lambdaTemp",2.73229323628605,1.14879851717901,1.06263817575148,1.73461272021922,2.59305856004508,3.64285813088101,4.88571640156505
"lambdaTemp",2.86738396155105,1.15683325107647,1.08308819565592,1.83407022453431,2.80235604029802,3.81982036843155,4.89824533934933
"lambdaTemp",2.83805287150769,1.10656329213052,1.1099936969546,1.91460712061403,2.73047312690356,3.72201149382406,4.84538575043035
"lambdaTemp",3.73155741374931,0.927190755336009,1.59416421000814,3.14615892798269,3.91288971086494,4.49131357064728,4.94757237565988
"lambdaTemp",2.5422526763663,1.09129436341858,1.06432097771299,1.61993766174716,2.34369152532464,3.35543881414172,4.75970753553529
"lambdaTemp",3.30469180850239,1.05823999974952,1.25981400143708,2.4975669025997,3.38248671728143,4.2116929563038,4.92083245704951
"lambdaTemp",2.86184649039905,1.07809156881241,1.13472938057846,1.96069965827296,2.7865859921115,3.73337842046663,4.82613136370094
"lambdaTemp",3.73453544959394,0.942802315704429,1.6457735251293,3.08640655163664,3.93268286854008,4.53965693114418,4.94430139258695
"lambdaTemp",3.03490577750048,1.1149567709488,1.16216274814382,2.09504927886037,2.99286642460587,3.99975619984793,4.88413731045131
"lambdaTemp",3.04967695531972,1.0971034140752,1.15921126408824,2.1361952387564,3.0494128087597,3.97364748443805,4.89467765634515
"lambdaTemp",2.62450973513662,1.08832074148555,1.07499009389889,1.70433278293982,2.47547472516767,3.43597703445279,4.77530240576479
"lambdaTemp",2.79036669889501,1.14004674403568,1.08227795100662,1.79960269596057,2.68373872280656,3.71937831846643,4.88207914142275
"lambdaTemp",2.83653582626154,1.14986630090563,1.07438560078579,1.8402481464651,2.74043636482546,3.78303919526095,4.87735730574919
"lambdaTemp",3.76296216035055,0.91259455010952,1.69512170057676,3.164097364597,3.94060779896649,4.51981646652133,4.95866236322761
"lambdaTemp",2.87090001211292,1.12724494960893,1.11454798764691,1.90330364448419,2.78834386746395,3.81238813045,4.88561765068305
"lambdaTemp",3.50700577071625,1.04171562386576,1.31166500527002,2.73824935790115,3.70227961889272,4.39615123480587,4.92949364354109
"lambdaTemp",2.77420900801824,1.17949559532958,1.06467869341961,1.73948534387439,2.62578633719089,3.78821073378527,4.88916771637966
"lambdaTemp",2.65006337221929,1.12660935083805,1.06877481631007,1.65002871116366,2.48445966228175,3.54432956117954,4.82707728505028
"lambdaTemp",2.8898818111238,1.13861379151894,1.07336486315634,1.92134338718327,2.83218524875097,3.86570341362555,4.86967724267341
"lambdaTemp",2.82114263602525,1.14758144715166,1.07732856790677,1.80109347463901,2.75295896219083,3.80123536928554,4.85521052325298
"lambdaTemp",2.87974171706727,1.15322489365177,1.08419635230889,1.84526609634839,2.80179275902753,3.89056734768062,4.85705913285929
"lambdaTemp",2.75382249254413,1.12259405777634,1.08917546184521,1.76075095484827,2.62955618640885,3.68902120352035,4.80399910373203
"lambdaTemp",2.80526904516421,1.1498663950794,1.08492556984709,1.8055603933691,2.70404251551918,3.74441973314768,4.8733375968614
"lambdaTemp",3.61277032414195,1.00838915359075,1.46303195396046,2.89445014675444,3.80734221874094,4.46883149589953,4.96176219960391
"lambdaTemp",3.0562123474716,1.1090086096814,1.14643025739096,2.11246380016111,3.07208553927523,4.00410480568295,4.89735130821683
"lambdaTemp",2.75077103640851,1.19324961824176,1.05315321700631,1.68369108879742,2.57041500438168,3.78286486120173,4.8912289351648
"lambdaTemp",2.77011438251157,1.15840984181062,1.06574043059674,1.7370690790405,2.65923274775885,3.74565860245538,4.87556486305216
"lambdaTemp",2.65015508947649,1.10978344664289,1.09351575787363,1.71824670670744,2.46736172723541,3.47869099364005,4.83931562529159
"lambdaTemp",2.76142675624624,1.15658831060413,1.0678865481307,1.7321908475497,2.64670628623966,3.72355148490731,4.84316761732799
"lambdaTemp",2.86348498234104,1.13073511350894,1.08039221244627,1.87976058006824,2.81699712527478,3.82861282340954,4.83531087098705
"lambdaTemp",2.79908242637899,1.1523106749501,1.07439794368723,1.77112899694009,2.68768369130965,3.78572844070564,4.85411911898051
"lambdaTemp",3.06957272949723,1.10500763151733,1.1877019962178,2.14161560693453,3.08121600785,4.04348383533636,4.88691692809142
"lambdaTemp",3.31160448617649,1.02695569604813,1.32252212870169,2.50968552057345,3.35003961698705,4.20310949057794,4.92504388985079
"lambdaTemp",3.56352419764428,1.00127003254499,1.41794942135783,2.87036454186322,3.70912458070269,4.41693944253673,4.94265219612146
"lambdaTemp",2.84961852122195,1.12379957806474,1.07915292954514,1.84734982849243,2.77902684404961,3.75784528742833,4.87105170767017
"lambdaTemp",2.10747353567846,0.960267095806445,1.03342385817005,1.3493953281958,1.81347490382457,2.66401288973276,4.45097245879734
"lambdaTemp",3.38967317869379,1.05152946833277,1.2234300242385,2.61315242038403,3.49540618805988,4.27704360206973,4.93370317845774
"lambdaTemp",3.21081609252378,1.10366381422596,1.17338595335456,2.31396359563686,3.32048725303958,4.14876280938434,4.92046179614583
"lambdaTemp",3.48408627136708,1.01109837601347,1.36280239737021,2.75299182366965,3.6190431973907,4.33327867753641,4.95077047662844
"lambdaTemp",3.1372238384357,1.10414321949467,1.15935749577594,2.22911434225748,3.19121778214284,4.09181658672701,4.90199098602413
"lambdaTemp",2.81492092587523,1.17695495946919,1.06932300984948,1.7627458162174,2.69092545811224,3.82392884397903,4.90277238914067
"lambdaTemp",3.16711620357616,1.06485250793937,1.21086358929945,2.33661486679633,3.19550683333297,4.04435782680369,4.8941671297302
"lambdaTemp",2.78023865122323,1.13360311984799,1.08115611606237,1.78393585878404,2.69232697413773,3.7114614992347,4.8474103438297
"lambdaTemp",2.82180717936534,1.13932930392968,1.0994565989949,1.80766615088527,2.75142689906119,3.7613427269545,4.82947518452559
