"","alpha","beta","gamma","delta","lambda","luce"
"gamma",-0.0156520507065964,0.0105823272295023,0.111695290853171,-0.00437827779921821,0.00200256545743976,-0.0166737541657598
"delta",0.000438589035582488,-0.0184365964541395,-0.00437827779921821,0.0207855692466818,-0.0266141252870838,-0.00564788432109324
"lambda",-0.00270562850974762,-0.0179354400518423,0.00200256545743976,-0.0266141252870838,1.2830271895246,0.00256720646304267
"luce",-0.00602655283574314,-0.000500121314760097,-0.0166737541657598,-0.00564788432109324,0.00256720646304267,0.0827852261927525
"alpha",0.00716306693817456,0.00210221290590549,-0.000236065263730302,0.00273935542400767,0.0273842880727838,0.000463325013002459
"beta",0.00210221290590549,0.00604545289283987,0.00251343126353066,0.000590892529237925,-0.0444845372105908,0.000967399710949483
"gamma",-0.000236065263730302,0.00251343126353066,0.0179702167260118,-0.00194873246850899,0.0225798746271145,-0.00355672772899558
"delta",0.00273935542400767,0.000590892529237925,-0.00194873246850899,0.00634114030017277,-0.0158462316031887,0.000914285902415091
"lambda",0.0273842880727838,-0.0444845372105908,0.0225798746271145,-0.0158462316031887,1.0409855118444,-0.0393956887477599
"luce",0.000463325013002459,0.000967399710949483,-0.00355672772899558,0.000914285902415091,-0.0393956887477599,0.0751057105945167
"alpha",0.00417501513910415,-0.000197062107669213,0.000362180768105417,0.00390013153769729,0.0029795658939188,-0.00239530593720438
"beta",-0.000197062107669213,0.0599486661289857,0.001905560775885,-0.0275431483600912,-0.0363405672378939,-0.00484636299200679
"gamma",0.000362180768105417,0.001905560775885,0.00887988126802235,-0.000812284816215644,-0.00532330026475871,0.00140900651192417
"delta",0.00390013153769729,-0.0275431483600912,-0.000812284816215644,0.0686217151965521,-0.0425107701675932,-0.000617746100641343
"lambda",0.0029795658939188,-0.0363405672378939,-0.00532330026475871,-0.0425107701675932,1.27913180038015,0.0088753945520666
"luce",-0.00239530593720438,-0.00484636299200679,0.00140900651192417,-0.000617746100641343,0.0088753945520666,0.0791430385458657
"alpha",0.0448856805574821,0.00763641303368556,0.00841066949168741,0.00280762415722906,0.0306527836208432,-0.00605366249408891
"beta",0.00763641303368556,0.00995006905125729,0.00987724489707875,-0.000102654600048309,-0.0464342559289326,-0.00622896661302056
"gamma",0.00841066949168741,0.00987724489707875,0.0693456026482716,-1.28592591716258e-05,0.00411167819537444,0.000412689123560363
"delta",0.00280762415722906,-0.000102654600048309,-1.28592591716258e-05,0.00521707934684417,-0.0128824025969302,-0.00515568949339721
"lambda",0.0306527836208432,-0.0464342559289326,0.00411167819537444,-0.0128824025969302,1.2107562273821,-0.032551834454688
"luce",-0.00605366249408891,-0.00622896661302056,0.000412689123560363,-0.00515568949339721,-0.032551834454688,0.0822532980113844
"alpha",0.0735872523794428,-0.00195732223324201,-0.03259137660978,0.00116634443072353,-0.00145220051611354,0.00623310452465153
"beta",-0.00195732223324201,0.0691606100783679,0.00524527754238931,-0.0175495732078361,0.0080661769060128,0.0014203690809849
"gamma",-0.03259137660978,0.00524527754238931,0.0592042050556422,-0.00123921505968387,0.0152832373677905,-0.0136320654543295
"delta",0.00116634443072353,-0.0175495732078361,-0.00123921505968387,0.0254253641301141,-0.0522671065963193,-0.00700848902652898
"lambda",-0.00145220051611354,0.0080661769060128,0.0152832373677905,-0.0522671065963193,1.34588664292256,-0.0102689052282774
"luce",0.00623310452465153,0.0014203690809849,-0.0136320654543295,-0.00700848902652898,-0.0102689052282774,0.0773357795334124
"alpha",0.0166525434592585,0.00195653436680954,-0.00518198499521393,0.00170379854598631,0.0201603987202903,-0.00461685681535964
"beta",0.00195653436680954,0.00846866035285149,0.00144539313808209,-0.001099421245861,-0.0233726465919113,-0.00335104135469368
"gamma",-0.00518198499521393,0.00144539313808209,0.010794537666997,0.000591851022847571,-0.00112196109266551,-0.00741857826804335
"delta",0.00170379854598631,-0.001099421245861,0.000591851022847571,0.00146766992075661,-0.0079301978926041,-0.00213400252735215
"lambda",0.0201603987202903,-0.0233726465919113,-0.00112196109266551,-0.0079301978926041,0.954136941154833,-0.0279347961603123
"luce",-0.00461685681535964,-0.00335104135469368,-0.00741857826804335,-0.00213400252735215,-0.0279347961603123,0.0748341443118277
"alpha",0.0501951029194902,-0.00451203140538823,-0.0295708111028283,0.0101240327295197,-0.00899358996023664,-0.00718745886152844
"beta",-0.00451203140538823,0.0622452557872949,0.0103197984193825,-0.0345702507381837,0.00479949998179311,0.00146187267034705
"gamma",-0.0295708111028283,0.0103197984193825,0.0918303153319191,-0.0204821011527583,0.00710942978605457,-0.00164212018816558
"delta",0.0101240327295197,-0.0345702507381837,-0.0204821011527583,0.0781301576650716,-0.0817544212774109,-0.0136675637143888
"lambda",-0.00899358996023664,0.00479949998179311,0.00710942978605457,-0.0817544212774109,1.28908718682534,0.00452977965574083
"luce",-0.00718745886152844,0.00146187267034705,-0.00164212018816558,-0.0136675637143888,0.00452977965574083,0.0797112722900331
"alpha",0.0521940674254956,0.00176147133446773,-0.0208363120707373,0.000800456393497834,0.0114767587129056,-0.00437542334371425
"beta",0.00176147133446773,0.010778185192654,0.00378689176879219,-0.00151020842484978,-0.0277663618326836,-0.00333261334777218
"gamma",-0.0208363120707373,0.00378689176879219,0.0826222333622097,-0.00132521398754439,-0.00348257030988931,-0.00680386240648192
"delta",0.000800456393497834,-0.00151020842484978,-0.00132521398754439,0.00685923693526118,-0.00877033446136247,-0.0026417538435175
"lambda",0.0114767587129056,-0.0277663618326836,-0.00348257030988931,-0.00877033446136247,1.17329521859924,-0.0657310870093406
"luce",-0.00437542334371425,-0.00333261334777218,-0.00680386240648192,-0.0026417538435175,-0.0657310870093406,0.0787861222295082
"alpha",0.053827459488832,-0.00275253812955836,-0.0234747400124028,0.00312739208601202,0.00561624865230758,-0.00208915776965726
"beta",-0.00275253812955836,0.0722223018559645,0.00199239888721022,-0.0168948234803887,-0.000620142775464062,0.00337564437524436
"gamma",-0.0234747400124028,0.00199239888721022,0.0589227736070727,-0.000581805022110444,-0.00168448517343067,-0.0109714325987563
"delta",0.00312739208601202,-0.0168948234803887,-0.000581805022110444,0.0231816415611142,-0.0425410797625145,-0.00879348551982806
"lambda",0.00561624865230758,-0.000620142775464062,-0.00168448517343067,-0.0425410797625145,1.31210129917253,0.0208294730763091
"luce",-0.00208915776965726,0.00337564437524436,-0.0109714325987563,-0.00879348551982806,0.0208294730763091,0.086459661907223
"alpha",0.072983359711255,-0.00431183764073317,-0.0262582614133025,0.00208595664150329,-0.0066316720080748,0.00224500006504495
"beta",-0.00431183764073317,0.0725638920705769,0.000524448553494045,-0.0145530202359425,0.00762928861281552,0.00149673020750938
"gamma",-0.0262582614133025,0.000524448553494045,0.0519186457085863,0.000571948555545815,0.0010838568875467,-0.0146552252406837
"delta",0.00208595664150329,-0.0145530202359425,0.000571948555545815,0.0177190553456146,-0.0356143605939865,-0.00561881327408605
"lambda",-0.0066316720080748,0.00762928861281552,0.0010838568875467,-0.0356143605939865,1.36017837657391,-0.00663237531387916
"luce",0.00224500006504495,0.00149673020750938,-0.0146552252406837,-0.00561881327408605,-0.00663237531387916,0.0862274292601306
"alpha",0.0436639292296403,0.00631295774533729,0.00418826282523639,0.00136414039398029,0.0337295616166157,-0.00435676341637861
"beta",0.00631295774533729,0.0099127156362159,0.00725702114795763,-0.000303196617016606,-0.0279957105197668,-0.00400002287254086
"gamma",0.00418826282523639,0.00725702114795763,0.0730240589946124,0.0004837523054684,0.0144877382791413,0.000661085374400129
"delta",0.00136414039398029,-0.000303196617016606,0.0004837523054684,0.00151031904749716,-0.0114333619490706,-0.00217678520111108
"lambda",0.0337295616166157,-0.0279957105197668,0.0144877382791413,-0.0114333619490706,1.17829009984036,-0.0305442836641566
"luce",-0.00435676341637861,-0.00400002287254086,0.000661085374400129,-0.00217678520111108,-0.0305442836641566,0.0753827743033201
"alpha",0.0461182499084253,0.0015831954208037,-0.0275807632876486,0.00144055469370377,0.0253970928726615,-0.00466949869952111
"beta",0.0015831954208037,0.0145636712099048,0.00323500809884855,-0.000519268687159852,-0.0619642652122106,-0.00864639288584619
"gamma",-0.0275807632876486,0.00323500809884855,0.0724509624407273,-0.00377241033958083,-0.0439685622271045,-0.002428057348518
"delta",0.00144055469370377,-0.000519268687159852,-0.00377241033958083,0.0289974480510227,-0.00465264840706401,-0.00359363905604003
"lambda",0.0253970928726615,-0.0619642652122106,-0.0439685622271045,-0.00465264840706401,1.22417503998891,-0.0540011110433189
"luce",-0.00466949869952111,-0.00864639288584619,-0.002428057348518,-0.00359363905604003,-0.0540011110433189,0.0759905020927002
"alpha",0.0405456922268547,0.00607528015654409,0.00446048620843065,0.00125730918189357,0.0310666303843513,-0.00255050198060747
"beta",0.00607528015654409,0.0100221400871198,0.00695072667654923,-0.000289638578616253,-0.0311719061680079,-0.00470588969773678
"gamma",0.00446048620843065,0.00695072667654923,0.0704483751233171,0.00100481235205958,0.0120759025673103,0.000229636396788934
"delta",0.00125730918189357,-0.000289638578616253,0.00100481235205958,0.00121352579031721,-0.00686743970318891,-0.00173552833496857
"lambda",0.0310666303843513,-0.0311719061680079,0.0120759025673103,-0.00686743970318891,1.1870018089787,-0.0485481468529479
"luce",-0.00255050198060747,-0.00470588969773678,0.000229636396788934,-0.00173552833496857,-0.0485481468529479,0.082287169865262
"alpha",0.0511505387786527,0.000604988023711423,-0.0163040441476154,6.67479896747445e-05,0.0126150980267419,-0.00362443842979208
"beta",0.000604988023711423,0.0071635911581262,0.0041255286650761,0.00306175912774906,-0.0185516188478005,-0.00206988144473979
"gamma",-0.0163040441476154,0.0041255286650761,0.0939665580362916,-0.000992758912505737,-0.0130598418349031,0.0021681338335529
"delta",6.67479896747445e-05,0.00306175912774906,-0.000992758912505737,0.00682807225305029,-0.00599054700146896,-0.00289401765650437
"lambda",0.0126150980267419,-0.0185516188478005,-0.0130598418349031,-0.00599054700146896,1.03953075343589,-0.03255532273086
"luce",-0.00362443842979208,-0.00206988144473979,0.0021681338335529,-0.00289401765650437,-0.03255532273086,0.0759049871009163
"alpha",0.0549450554564732,-0.00178134157085183,-0.0281274659902384,0.0104260395108167,0.0104367754527254,-0.00672426508584603
"beta",-0.00178134157085183,0.04028410367308,0.00813841860143448,-0.0182772767308102,-0.0395869388959772,-0.00126347328870366
"gamma",-0.0281274659902384,0.00813841860143448,0.0631635328577265,-0.00753621193080096,-0.0196026136166529,-0.00600390939610406
"delta",0.0104260395108167,-0.0182772767308102,-0.00753621193080096,0.0341779517820537,-0.0354677091044023,-0.012190915485083
"lambda",0.0104367754527254,-0.0395869388959772,-0.0196026136166529,-0.0354677091044023,1.32672600664175,0.00579430360276941
"luce",-0.00672426508584603,-0.00126347328870366,-0.00600390939610406,-0.012190915485083,0.00579430360276941,0.0810367775358167
"alpha",0.0592356874744658,0.000681212325320283,-0.0268351355086273,0.00123603492446389,-0.00506741227036324,-0.00059113385219199
"beta",0.000681212325320283,0.00848667218392254,0.00255247175680337,0.00158435098909785,-0.0233306921235249,-0.00189978964010444
"gamma",-0.0268351355086273,0.00255247175680337,0.0730974302987657,-0.00193698862988701,0.0123000328011935,-0.00547762594663243
"delta",0.00123603492446389,0.00158435098909785,-0.00193698862988701,0.00650341219394056,-0.00838377918268152,-0.000256463350640898
"lambda",-0.00506741227036324,-0.0233306921235249,0.0123000328011935,-0.00838377918268152,0.860914882318527,-0.0894221316724625
"luce",-0.00059113385219199,-0.00189978964010444,-0.00547762594663243,-0.000256463350640898,-0.0894221316724625,0.0667544754566822
"alpha",0.0546779392938605,0.00647916631967114,-0.0291167499140582,0.00380338902298435,0.0293767598604033,-0.00233482435903987
"beta",0.00647916631967114,0.0118760247984281,0.00361058902100051,-0.00166641075901417,-0.0315997596060782,-0.00695785133379879
"gamma",-0.0291167499140582,0.00361058902100051,0.0703855145502816,-0.00519236489029294,-0.0354713437130136,-0.00729961864270373
"delta",0.00380338902298435,-0.00166641075901417,-0.00519236489029294,0.0236448017663536,-0.0277696363616544,-0.00673537647316897
"lambda",0.0293767598604033,-0.0315997596060782,-0.0354713437130136,-0.0277696363616544,0.99358138958212,-0.0165942772144975
