"","alpha","beta","gamma","delta","lambda","luce"
"delta",0.00523336250737721,0.00128555700682558,-0.00394715610145995,0.00986200755253746,-0.0274850780971434,-0.00418027551043167
"lambda",0.0506689736943753,-0.0433389770297244,-0.0278058612064016,-0.0274850780971434,1.10688568932917,-0.132865038767021
"luce",-0.00548402517081374,-0.00424647795949582,-0.00549655148788831,-0.00418027551043167,-0.132865038767021,0.0801905898781354
"alpha",0.0204770615814804,0.00105045713962006,-0.0060738670536366,0.00127723032626647,-0.00171871088501607,-0.010234366732133
"beta",0.00105045713962006,0.0754609965738812,0.00512069398417286,-0.0102465003063489,-0.0177739726078299,-0.000815328561619895
"gamma",-0.0060738670536366,0.00512069398417286,0.0647370230787629,-0.00106385512293826,0.00191899528418769,-0.0108498806568646
"delta",0.00127723032626647,-0.0102465003063489,-0.00106385512293826,0.00907482832150372,-0.0180963398521687,-0.00290944552531429
"lambda",-0.00171871088501607,-0.0177739726078299,0.00191899528418769,-0.0180963398521687,1.31053437028955,-0.00476592895507489
"luce",-0.010234366732133,-0.000815328561619895,-0.0108498806568646,-0.00290944552531429,-0.00476592895507489,0.0668208777524099
"alpha",0.00206719445196331,9.61268538983885e-05,-0.000676507157828485,0.000682874756150367,0.0158421390784541,-0.00135395310248944
"beta",9.61268538983885e-05,0.00252227591300631,0.000873803362917891,0.000742584635682042,-0.0289707857110237,-0.000326191344378994
"gamma",-0.000676507157828485,0.000873803362917891,0.0071420678517236,-0.001502357803837,0.00892917425874164,-0.0036132287370917
"delta",0.000682874756150367,0.000742584635682042,-0.001502357803837,0.00224109538513977,-0.0151265011604152,0.00115572421904824
"lambda",0.0158421390784541,-0.0289707857110237,0.00892917425874164,-0.0151265011604152,0.649615993818682,-0.0351422802919568
"luce",-0.00135395310248944,-0.000326191344378994,-0.0036132287370917,0.00115572421904824,-0.0351422802919568,0.0533699759934809
"alpha",0.00373799791889137,0.00202631600664068,0.00045216465616554,0.00691293427266997,0.0116654561451405,-0.00879857095352686
"beta",0.00202631600664068,0.0194792462047742,0.000341398929696164,-0.00149268566363216,-0.0606775152170496,-0.00183163989425536
"gamma",0.00045216465616554,0.000341398929696164,0.00269418218549962,-0.000940450716538937,-0.00605514453194797,-3.37459315062808e-05
"delta",0.00691293427266997,-0.00149268566363216,-0.000940450716538937,0.04455191450607,-0.0376371486423731,-0.00917186549093906
"lambda",0.0116654561451405,-0.0606775152170496,-0.00605514453194797,-0.0376371486423731,1.20037691354104,-0.0684255283439249
"luce",-0.00879857095352686,-0.00183163989425536,-3.37459315062808e-05,-0.00917186549093906,-0.0684255283439249,0.0641469193816367
"alpha",0.0344117377579021,-0.000764508338630108,-0.0142274206062878,0.00141816931559999,0.0355697190535064,-0.00439304938227536
"beta",-0.000764508338630108,0.00596482383037749,0.00466329544882701,0.000346673201151745,-0.0535819290438587,-0.00557945806266572
"gamma",-0.0142274206062878,0.00466329544882701,0.0432753848341454,-0.00018278967021077,-0.00949462387207061,-0.0096127718827395
"delta",0.00141816931559999,0.000346673201151745,-0.00018278967021077,0.00116778105612346,-0.00872356505224398,-0.00215865576737177
"lambda",0.0355697190535064,-0.0535819290438587,-0.00949462387207061,-0.00872356505224398,1.18096726251739,-0.0918231465887037
"luce",-0.00439304938227536,-0.00557945806266572,-0.0096127718827395,-0.00215865576737177,-0.0918231465887037,0.0786261210727072
"alpha",0.0492292913558295,-0.00168123876654185,-0.0266052566625402,0.00584871378778745,-0.0129616214839507,-0.00426178150454639
"beta",-0.00168123876654185,0.0799099955254131,0.00163732523996335,-0.0181354113828476,-0.00932874085042984,0.00364946884560649
"gamma",-0.0266052566625402,0.00163732523996335,0.0477453361953309,-0.00237462829335986,0.00397092300234344,-0.00885357429332095
"delta",0.00584871378778745,-0.0181354113828476,-0.00237462829335986,0.0195446333259232,-0.0328901202700665,-0.00752940064990828
"lambda",-0.0129616214839507,-0.00932874085042984,0.00397092300234344,-0.0328901202700665,1.34313483358223,-0.0036780456745424
"luce",-0.00426178150454639,0.00364946884560649,-0.00885357429332095,-0.00752940064990828,-0.0036780456745424,0.0820900092688379
"alpha",0.00614646060956623,-0.000543580768782975,-0.00304081090123541,0.000616914810239735,0.00894994153481549,-0.0049518814028373
"beta",-0.000543580768782975,0.00432554469386996,0.00109792945856687,-0.000664472531061352,-0.0186007199856664,-0.00326358770227084
"gamma",-0.00304081090123541,0.00109792945856687,0.00330762106698335,2.5623536721932e-05,-0.00102705838281304,-0.00262830168832017
"delta",0.000616914810239735,-0.000664472531061352,2.5623536721932e-05,0.000609054427995117,-0.00745701354860401,-0.00168492066258762
