,luce,sd,2.5%,25%,50%,75%,97.5%
luceTemp,1.162282756,0.224317206,0.68071508,0.99976479,1.193618419,1.351219964,1.484409876
luceTemp,0.960589731,0.258418443,0.538243786,0.751800562,0.94047441,1.151239563,1.460585496
luceTemp,1.229275436,0.198795416,0.768080647,1.098827029,1.270149814,1.392266043,1.490690889
luceTemp,0.860070934,0.258121236,0.515724414,0.642934875,0.811688429,1.045133027,1.423922017
luceTemp,1.042216011,0.265500744,0.552245661,0.838351263,1.050499918,1.261962446,1.469633721
luceTemp,1.150287449,0.243147241,0.627732489,0.985109441,1.181569831,1.356824319,1.487341326
luceTemp,1.174140608,0.209221275,0.728183959,1.02729425,1.197453226,1.348432584,1.483263544
luceTemp,0.809417796,0.25509966,0.508937881,0.59891756,0.736118228,0.972423745,1.416129587
luceTemp,0.909026469,0.286599644,0.513240702,0.656478918,0.877223284,1.13453941,1.454664312
luceTemp,0.935130355,0.285210945,0.517367557,0.684909871,0.900041216,1.17853174,1.466390868
luceTemp,1.01837954,0.285433748,0.533310442,0.776834219,1.023505002,1.266023655,1.479476146
luceTemp,1.116818322,0.248570128,0.610196349,0.935543203,1.139411207,1.325796801,1.486384208
luceTemp,0.997476697,0.284722138,0.523109998,0.75081911,0.992669173,1.24346439,1.470981794
luceTemp,1.081681567,0.244315968,0.617517169,0.893386658,1.088828801,1.284302905,1.474956763
luceTemp,0.961633748,0.240348278,0.547072552,0.776555803,0.951922689,1.134068825,1.444419567
luceTemp,0.919357646,0.279049716,0.51519243,0.680397248,0.878608544,1.146753782,1.449984977
luceTemp,0.975994248,0.282317674,0.526003873,0.730505324,0.966706685,1.212313468,1.474688143
luceTemp,0.839406488,0.259231755,0.51541815,0.623679392,0.773112225,1.019487806,1.412407632
luceTemp,0.710555095,0.199454405,0.50472702,0.55751173,0.650622555,0.79517096,1.252884993
luceTemp,0.954757278,0.264992469,0.529794133,0.73257229,0.937209068,1.156745396,1.446598324
luceTemp,0.797613718,0.188306451,0.525721461,0.652451584,0.767724666,0.913513641,1.238277365
luceTemp,1.11810023,0.235967928,0.624902379,0.949473621,1.135210653,1.309075407,1.479630514
luceTemp,1.104684485,0.237658574,0.63973872,0.923725326,1.116417761,1.296885692,1.486312024
luceTemp,1.053434571,0.268447388,0.55441054,0.836872606,1.068272875,1.283061099,1.478419811
luceTemp,1.102612038,0.262708621,0.57983043,0.901719113,1.137258334,1.324712102,1.484031111
luceTemp,0.976451037,0.266091402,0.547322778,0.750207603,0.955675801,1.195970972,1.463407237
luceTemp,1.033436344,0.254909565,0.564221504,0.831983065,1.036882316,1.234298411,1.470546319
luceTemp,0.763428719,0.195762575,0.513714225,0.607207108,0.721223705,0.877159332,1.225710491
luceTemp,1.186739581,0.223386842,0.682440648,1.031704216,1.229621506,1.374727912,1.481053868
luceTemp,1.324793087,0.148555527,0.946510561,1.248978332,1.362484103,1.439661917,1.493909745
