,gamma,sd,2.5%,25%,50%,75%,97.5%
gammaTemp,0.584110121,0.052691668,0.486043244,0.546454592,0.583906543,0.619472641,0.689315883
gammaTemp,0.44863011,0.272315646,0.034418973,0.216390591,0.411000483,0.66931466,0.955922372
gammaTemp,0.257192802,0.029211959,0.210090531,0.235435096,0.254337579,0.274400694,0.321641796
gammaTemp,0.34148207,0.108635571,0.17405838,0.262097402,0.327850271,0.405120692,0.596079068
gammaTemp,0.162132738,0.219522704,0.005322799,0.047707795,0.093167572,0.151162781,0.932642211
gammaTemp,0.550724109,0.081759875,0.395191825,0.494667882,0.549576592,0.601823774,0.714866133
gammaTemp,0.508189998,0.04466823,0.418732486,0.478373299,0.508606756,0.53866819,0.592350123
gammaTemp,0.452865051,0.234821954,0.076649203,0.260063528,0.423625015,0.615768037,0.938175372
gammaTemp,0.671133445,0.101158543,0.487491408,0.599623874,0.666793033,0.736933735,0.886593775
gammaTemp,0.920684437,0.063202761,0.768693007,0.884488778,0.935913468,0.971036304,0.997054788
gammaTemp,0.793849386,0.086465179,0.6324659,0.731222975,0.790961327,0.855285028,0.96244601
gammaTemp,0.269321168,0.231356063,0.010279046,0.08543104,0.195246385,0.410646531,0.855867756
gammaTemp,0.243518804,0.207514347,0.012858745,0.091709012,0.180453385,0.333013394,0.812722346
gammaTemp,0.778588916,0.052128002,0.692429001,0.740581808,0.77354215,0.811242651,0.893463176
gammaTemp,0.649351714,0.064682487,0.532416514,0.604517704,0.646456624,0.690283733,0.784753407
gammaTemp,0.870230475,0.079297444,0.695192734,0.817598656,0.878678821,0.93245928,0.99045881
gammaTemp,0.895185754,0.061989266,0.761883279,0.85509348,0.900609887,0.944809109,0.990592179
gammaTemp,0.580090232,0.265005208,0.061677704,0.365606581,0.599770857,0.815772446,0.975701033
gammaTemp,0.257401035,0.215620869,0.011218386,0.103163287,0.185626859,0.360124776,0.834070311
gammaTemp,0.403203725,0.318169414,0.013033107,0.114640646,0.305541879,0.705313128,0.971953491
gammaTemp,0.329383349,0.270898276,0.009881901,0.109091357,0.242046295,0.513233171,0.934382772
gammaTemp,0.866312515,0.092240604,0.665976276,0.804121246,0.880307241,0.942591655,0.9947975
gammaTemp,0.550502394,0.051221948,0.453221964,0.515626447,0.549546798,0.584389636,0.656061716
gammaTemp,0.918318043,0.057736608,0.783276202,0.883793037,0.93002639,0.964793235,0.994909471
gammaTemp,0.364415847,0.182504183,0.14026735,0.229342625,0.320406372,0.455978594,0.846761364
gammaTemp,0.349280444,0.285820889,0.012365063,0.103958529,0.254482003,0.576007622,0.949015073
gammaTemp,0.322682028,0.19262573,0.073001651,0.18106822,0.266337766,0.421802975,0.842196062
gammaTemp,0.777193205,0.075450038,0.635548591,0.725011995,0.774930312,0.826908104,0.931689713
gammaTemp,0.740908616,0.146609208,0.437127633,0.641619008,0.750412519,0.854064217,0.981611299
gammaTemp,0.462789637,0.282608061,0.019763375,0.210442768,0.466808781,0.692689954,0.962107929
gammaTemp,0.395861694,0.24006707,0.033747207,0.212834879,0.344021965,0.558135917,0.927030038
gammaTemp,0.36875404,0.085282623,0.2161809,0.309728531,0.361866899,0.421700504,0.555987361
gammaTemp,0.399555446,0.294011807,0.019878262,0.138707489,0.329793746,0.647130847,0.960352058
gammaTemp,0.454494482,0.314970626,0.022244182,0.157043092,0.414705823,0.753550666,0.976605496
gammaTemp,0.676977109,0.084536055,0.528552949,0.620873792,0.671708386,0.729016203,0.857861122
gammaTemp,0.617269311,0.251912405,0.098133405,0.428675086,0.650193606,0.832816772,0.983447508
gammaTemp,0.485617099,0.253839987,0.047390686,0.268038837,0.500223865,0.682121555,0.94706494
gammaTemp,0.313075617,0.254996378,0.012309019,0.114429523,0.232973592,0.470280847,0.912621905
gammaTemp,0.842819111,0.092923685,0.649258618,0.778997152,0.846522224,0.916569883,0.99098377
gammaTemp,0.697331135,0.212723842,0.20066756,0.567514215,0.730168493,0.872300001,0.98578851
gammaTemp,0.588686049,0.209667857,0.153096205,0.440964762,0.598588049,0.746888877,0.954499111
gammaTemp,0.545372114,0.248384188,0.066018619,0.35501319,0.555554379,0.737767416,0.966197904
gammaTemp,0.406834653,0.200756944,0.037536077,0.26367829,0.401302615,0.538718897,0.818296916
gammaTemp,0.614962323,0.236957086,0.104187188,0.462310905,0.642307571,0.80404049,0.968269714
gammaTemp,0.57197376,0.145960067,0.323267733,0.466868432,0.557129282,0.668771284,0.890403415
gammaTemp,0.348768588,0.096829716,0.181232614,0.278873735,0.343786008,0.405195608,0.555247306
gammaTemp,0.438656412,0.084902477,0.271851578,0.382808504,0.43547532,0.493982312,0.614702542
gammaTemp,0.704622147,0.060803986,0.597856887,0.664394633,0.698532838,0.739026604,0.846822952
gammaTemp,0.906706836,0.056084949,0.794136809,0.867542765,0.910228954,0.950753529,0.996698813
gammaTemp,0.378175331,0.289570335,0.012332828,0.121525864,0.313779095,0.599746517,0.961720563
gammaTemp,0.484768642,0.214570966,0.155891172,0.305000159,0.46396078,0.638119592,0.923282463
gammaTemp,0.818545966,0.075856014,0.677764135,0.766624223,0.814561555,0.866151011,0.980469994
gammaTemp,0.406349316,0.094791899,0.225586657,0.341515483,0.405725458,0.465413502,0.599754309
gammaTemp,0.538463722,0.10726777,0.33186486,0.466528752,0.536129344,0.607790294,0.756774029
gammaTemp,0.620690484,0.231649933,0.162618327,0.458654004,0.648377335,0.806337845,0.981537988
gammaTemp,0.473828398,0.357833217,0.011779958,0.095952088,0.503082325,0.82705921,0.984214251
gammaTemp,0.634543612,0.248886561,0.104993786,0.476397288,0.677947716,0.836148285,0.978822601
gammaTemp,0.589524472,0.062553714,0.481128569,0.544515585,0.584408943,0.626259681,0.728139921
gammaTemp,0.325641133,0.096498437,0.172835196,0.255713539,0.314854602,0.386886273,0.535052826
gammaTemp,0.3581381,0.301066105,0.010715984,0.102689347,0.24217935,0.60599081,0.963813353
gammaTemp,0.456237944,0.303235476,0.020006381,0.170184258,0.434186818,0.726087426,0.975174477
gammaTemp,0.837810117,0.123273528,0.547276818,0.766465695,0.860332238,0.934508087,0.99542316
gammaTemp,0.702942762,0.052877162,0.604661599,0.665890015,0.700743974,0.737804173,0.811319334
gammaTemp,0.57577766,0.290165628,0.028421538,0.339726004,0.628394633,0.825093297,0.981525948
gammaTemp,0.422580389,0.255391791,0.036345048,0.213537688,0.384965494,0.610691946,0.9396502
gammaTemp,0.357696209,0.144285424,0.175881174,0.253162541,0.326013135,0.422356554,0.759717691
gammaTemp,0.584245806,0.062881496,0.469250496,0.540628647,0.581506277,0.625688593,0.713944974
gammaTemp,0.257847687,0.250817322,0.008483757,0.072682413,0.155393727,0.383101728,0.903164224
gammaTemp,0.414180202,0.238161735,0.073546731,0.188075765,0.375302202,0.58517482,0.934572236
gammaTemp,0.817188073,0.097742563,0.623006766,0.747469454,0.821904291,0.89499731,0.981740359
gammaTemp,0.513222243,0.301840746,0.020351767,0.231025999,0.545311672,0.775350432,0.975118925
gammaTemp,0.462600775,0.253052898,0.051152364,0.249928879,0.439684338,0.657297573,0.947804414
gammaTemp,0.416921938,0.214359575,0.095902192,0.246512311,0.385166987,0.556838721,0.899676335
gammaTemp,0.709917325,0.219709222,0.119947584,0.60823461,0.755816163,0.87604203,0.987230825
gammaTemp,0.444481185,0.029842021,0.38394233,0.425258226,0.44430956,0.46449636,0.505185782
gammaTemp,0.702935539,0.133521667,0.454153936,0.60618391,0.69431523,0.79527356,0.964690821
gammaTemp,0.199707473,0.210952306,0.006507746,0.064467652,0.126490863,0.243671304,0.879618071
gammaTemp,0.451745059,0.298629849,0.017611354,0.154210266,0.459311496,0.708227272,0.960249355
gammaTemp,0.280240476,0.21807906,0.014183878,0.10989015,0.22171443,0.403676257,0.83546967
gammaTemp,0.274135939,0.035181535,0.214083908,0.248537452,0.271614895,0.296505565,0.347271118
gammaTemp,0.307084811,0.278609591,0.010855232,0.078899413,0.195102754,0.497483488,0.940506753
gammaTemp,0.678557121,0.227064331,0.161303528,0.556097162,0.717843018,0.856509723,0.986985338
gammaTemp,0.758526254,0.195264462,0.209274525,0.667863184,0.796794558,0.906919695,0.99268361
gammaTemp,0.752930141,0.043903098,0.671482115,0.722934866,0.750288293,0.781173314,0.843934203
gammaTemp,0.553490516,0.274959513,0.046699883,0.319110758,0.577253555,0.789746569,0.974471035
gammaTemp,0.281753154,0.291159248,0.006079629,0.067246349,0.142217535,0.451614994,0.948983157
gammaTemp,0.611739947,0.234728188,0.129056722,0.457425608,0.645380092,0.79749104,0.966730013
gammaTemp,0.406491831,0.056276682,0.303968259,0.36942891,0.405141287,0.441804762,0.520280113
gammaTemp,0.782734213,0.113047702,0.55974276,0.700071687,0.786005517,0.869492561,0.97794729
gammaTemp,0.525023589,0.216454575,0.166381144,0.361641259,0.505077924,0.678536766,0.957543354
gammaTemp,0.38705774,0.253015329,0.026273511,0.175771948,0.334622336,0.565137448,0.932649215
gammaTemp,0.768888142,0.126202699,0.508051859,0.68182509,0.772747728,0.86687717,0.981610196
gammaTemp,0.359324291,0.107048005,0.198252,0.281504688,0.345098381,0.419748571,0.605062953
gammaTemp,0.672705512,0.053002683,0.564700223,0.638892948,0.672248627,0.706273647,0.778614481
gammaTemp,0.396251186,0.27881715,0.018951493,0.155121642,0.344025151,0.619396635,0.951486443
gammaTemp,0.33817828,0.286968436,0.011981985,0.094446634,0.235355646,0.565243127,0.941876888
gammaTemp,0.313961393,0.28676714,0.010508408,0.085725865,0.194181939,0.506747029,0.954827296
gammaTemp,0.536549035,0.091643139,0.374871827,0.473774016,0.531382305,0.592891966,0.738389809
gammaTemp,0.881274704,0.052488218,0.777392761,0.844549027,0.881081001,0.920273562,0.979299585
gammaTemp,0.362272035,0.287243239,0.012037212,0.118465957,0.272934091,0.59422801,0.94603947
gammaTemp,0.636368368,0.090072024,0.475963525,0.576014566,0.631661183,0.690747489,0.825897499
gammaTemp,0.873358059,0.067980105,0.732629427,0.82592277,0.875907908,0.927116389,0.987717862
gammaTemp,0.212530413,0.23107884,0.00719931,0.05972015,0.120938443,0.258951851,0.857967497
gammaTemp,0.447913872,0.335314685,0.012639231,0.108305314,0.422337379,0.777916035,0.973158535
gammaTemp,0.366071756,0.209837574,0.043020545,0.209532676,0.332906679,0.487182117,0.870831184
gammaTemp,0.657700946,0.221829288,0.182381843,0.515087409,0.684819828,0.83724916,0.984095843
gammaTemp,0.387539458,0.082757856,0.231711749,0.333623927,0.385764374,0.437753328,0.558829973
gammaTemp,0.371305322,0.304060124,0.013905456,0.109794639,0.266622982,0.630503255,0.964819059
gammaTemp,0.616028103,0.250335723,0.085943687,0.446661962,0.647198467,0.824111071,0.979514892
gammaTemp,0.601778747,0.08411756,0.455120421,0.544345683,0.594446681,0.65295532,0.790407504
gammaTemp,0.844889763,0.088084086,0.666798947,0.782606292,0.849706594,0.913062463,0.987352497
gammaTemp,0.630795337,0.235785586,0.12352396,0.468293101,0.662772447,0.822110677,0.979410997
gammaTemp,0.647891766,0.086836412,0.49772308,0.58879174,0.643959899,0.701016931,0.829239915
gammaTemp,0.589541961,0.05934485,0.480336428,0.547744455,0.587465075,0.628526062,0.710314698
gammaTemp,0.298492804,0.11045603,0.164151583,0.221633955,0.275839761,0.347062155,0.58904672
gammaTemp,0.558136122,0.122674865,0.332739005,0.478064784,0.55018635,0.627919663,0.84537349
gammaTemp,0.464598954,0.262676143,0.025782408,0.250121086,0.443917588,0.677423642,0.951960733
gammaTemp,0.588076661,0.197821067,0.192584214,0.448244456,0.585640595,0.73345658,0.949277568
gammaTemp,0.536815404,0.284671306,0.041064034,0.285336984,0.562206483,0.783207671,0.977727503
gammaTemp,0.265787942,0.215670376,0.01160625,0.114682849,0.199993758,0.369079771,0.852369034
gammaTemp,0.388493354,0.265771391,0.018254565,0.155144226,0.347180842,0.594287678,0.923706327
gammaTemp,0.379045969,0.208647195,0.055194539,0.214816575,0.348658794,0.51042683,0.878485076
gammaTemp,0.449141699,0.153996833,0.202193483,0.341251765,0.430738658,0.538604321,0.815252038
gammaTemp,0.575851864,0.275067671,0.039442471,0.375858366,0.621442417,0.801395046,0.975819312
gammaTemp,0.402603901,0.26707244,0.016814243,0.185743713,0.350782947,0.591133742,0.954715646
gammaTemp,0.602130632,0.06148527,0.486453776,0.559815614,0.600590257,0.642618373,0.726595065
gammaTemp,0.329447137,0.296037479,0.007381292,0.086204317,0.205741318,0.556124015,0.955834497
gammaTemp,0.439577135,0.044494863,0.357872527,0.408994231,0.437175854,0.469023561,0.531784691
gammaTemp,0.49956902,0.300311184,0.018008053,0.200906709,0.543503296,0.757723251,0.970496715
gammaTemp,0.322598447,0.280183194,0.012223104,0.093964892,0.217667499,0.521502458,0.937306113
gammaTemp,0.566708699,0.31139613,0.023770472,0.276498321,0.649213287,0.839625568,0.981441911
gammaTemp,0.756384382,0.060243767,0.645309021,0.7146971,0.753022831,0.795216274,0.884581082
gammaTemp,0.629862974,0.271785445,0.057298943,0.447700996,0.699074221,0.852608974,0.983258504
