,alpha,beta,gamma,delta,lambda,luce
alpha,0.061847119,-0.002545649,-0.029963293,0.00083753,0.037774937,-0.002929308
beta,-0.002545649,0.003449826,0.003637629,0.000309786,-0.034631379,-0.004894477
gamma,-0.029963293,0.003637629,0.045500796,-0.000170827,-0.015176839,-0.009145959
delta,0.00083753,0.000309786,-0.000170827,0.00047431,-0.007015656,-0.001587638
lambda,0.037774937,-0.034631379,-0.015176839,-0.007015656,1.089852943,-0.111043844
luce,-0.002929308,-0.004894477,-0.009145959,-0.001587638,-0.111043844,0.077771397
alpha,0.04624962,-9.26E-05,-0.019866321,-0.000164266,0.008741327,-0.002560646
beta,-9.26E-05,0.001213764,0.002520184,0.001149126,-0.009383252,-0.002654244
gamma,-0.019866321,0.002520184,0.082220168,-0.000516058,-0.0041374,-0.007352968
delta,-0.000164266,0.001149126,-0.000516058,0.002025675,-0.010959749,-0.003719067
lambda,0.008741327,-0.009383252,-0.0041374,-0.010959749,0.61661811,-0.024001462
luce,-0.002560646,-0.002654244,-0.007352968,-0.003719067,-0.024001462,0.055418114
alpha,0.041995139,-0.002504771,-0.027629569,0.002638308,0.020742421,-0.006532181
beta,-0.002504771,0.007321318,0.011400229,-0.001514058,-0.037746122,-0.0057311
gamma,-0.027629569,0.011400229,0.067193246,-0.00377311,-0.034649577,-0.010097645
delta,0.002638308,-0.001514058,-0.00377311,0.001709385,-0.004606885,-0.003282336
lambda,0.020742421,-0.037746122,-0.034649577,-0.004606885,0.899012994,-0.021411226
luce,-0.006532181,-0.0057311,-0.010097645,-0.003282336,-0.021411226,0.070642695
alpha,0.0513624,-0.000324893,-0.02469288,-0.00018695,0.005088707,-0.001176368
beta,-0.000324893,0.001564627,0.00134689,0.000701782,-0.005686238,-0.00206075
gamma,-0.02469288,0.00134689,0.071897784,-0.002748376,0.002262946,-0.004557837
delta,-0.00018695,0.000701782,-0.002748376,0.002502879,-0.000984507,-0.000742535
lambda,0.005088707,-0.005686238,0.002262946,-0.000984507,0.171067846,-0.033452506
luce,-0.001176368,-0.00206075,-0.004557837,-0.000742535,-0.033452506,0.034278633
alpha,0.038732119,0.002127331,-0.024784433,0.007650529,0.017944279,-0.003819536
beta,0.002127331,0.006873933,0.0045735,-0.000109872,-0.03914058,-0.005443373
gamma,-0.024784433,0.0045735,0.069561466,-0.006798656,-0.066654047,-0.018566112
delta,0.007650529,-0.000109872,-0.006798656,0.02063919,-0.026391193,-0.007385772
lambda,0.017944279,-0.03914058,-0.066654047,-0.026391193,1.187934972,-0.095221347
luce,-0.003819536,-0.005443373,-0.018566112,-0.007385772,-0.095221347,0.071437594
alpha,0.004036493,-0.000768264,-0.000278415,0.001361377,-0.001550382,-0.012088489
beta,-0.000768264,0.073842065,0.001363734,-0.013287525,0.013318362,0.001392666
gamma,-0.000278415,0.001363734,0.015766511,-0.001682365,-0.002116133,-0.007150279
delta,0.001361377,-0.013287525,-0.001682365,0.012334972,-0.028013298,-0.00414951
lambda,-0.001550382,0.013318362,-0.002116133,-0.028013298,1.372365093,0.000857365
luce,-0.012088489,0.001392666,-0.007150279,-0.00414951,0.000857365,0.063736367
alpha,0.003347531,0.000541141,-0.000893166,0.000986799,0.028223592,-0.00532511
beta,0.000541141,0.001950251,0.001146438,0.000934311,-0.018139729,-0.002629455
gamma,-0.000893166,0.001146438,0.005594406,-7.82E-05,-0.002282213,-0.006095011
delta,0.000986799,0.000934311,-7.82E-05,0.001363736,-0.00763323,-0.000896798
lambda,0.028223592,-0.018139729,-0.002282213,-0.00763323,0.729014086,-0.078704885
luce,-0.00532511,-0.002629455,-0.006095011,-0.000896798,-0.078704885,0.054134322
alpha,0.003287085,-0.002361968,-0.000738716,0.005236865,0.002388421,-0.009335766
beta,-0.002361968,0.065224376,0.001835227,-0.02909944,-0.008234157,0.005002804
gamma,-0.000738716,0.001835227,0.004072572,-0.003046546,-0.004213325,-0.000697753
delta,0.005236865,-0.02909944,-0.003046546,0.0531502,-0.047651632,-0.012210456
lambda,0.002388421,-0.008234157,-0.004213325,-0.047651632,1.361124256,-0.006462339
luce,-0.009335766,0.005002804,-0.000697753,-0.012210456,-0.006462339,0.041104237
alpha,0.07825079,-0.000871308,-0.037224348,-6.67E-05,-4.82E-05,0.005478324
beta,-0.000871308,0.000695175,0.002498269,0.00013582,-0.00516935,-0.001132516
gamma,-0.037224348,0.002498269,0.078625305,-0.000313332,0.006058105,-0.013398171
delta,-6.67E-05,0.00013582,-0.000313332,0.000565932,-0.001743653,6.69E-06
lambda,-4.82E-05,-0.00516935,0.006058105,-0.001743653,0.84241966,-0.15852168
luce,0.005478324,-0.001132516,-0.013398171,6.69E-06,-0.15852168,0.073029354
alpha,0.058723312,-0.001779315,-0.029794487,0.000230092,0.020947483,-0.00396748
beta,-0.001779315,0.002348632,0.003835701,0.001132265,-0.015421336,-0.001176609
gamma,-0.029794487,0.003835701,0.065191853,0.000165586,-0.016898883,-0.007739891
delta,0.000230092,0.001132265,0.000165586,0.002447425,-0.007287553,-0.000991571
lambda,0.020947483,-0.015421336,-0.016898883,-0.007287553,0.63024595,-0.132762775
luce,-0.00396748,-0.001176609,-0.007739891,-0.000991571,-0.132762775,0.070669792
alpha,0.046203161,-0.007769592,-0.028595209,0.017232712,0.032657057,-0.012161779
beta,-0.007769592,0.032188807,0.012698233,-0.016765712,-0.04549766,0.001223009
gamma,-0.028595209,0.012698233,0.042510758,-0.017398411,-0.030504048,-0.000979942
delta,0.017232712,-0.016765712,-0.017398411,0.03344095,-0.024754545,-0.017183467
lambda,0.032657057,-0.04549766,-0.030504048,-0.024754545,1.231517212,-0.055280849
luce,-0.012161779,0.001223009,-0.000979942,-0.017183467,-0.055280849,0.082865033
alpha,0.036388479,0.004123495,-0.017166178,0.003803455,0.003306807,-0.001524917
beta,0.004123495,0.015317505,0.011592222,0.000469223,-0.047178845,-0.00928557
gamma,-0.017166178,0.011592222,0.064905889,-0.002757802,-0.043737266,-0.017221368
delta,0.003803455,0.000469223,-0.002757802,0.014738501,-0.015694166,-0.001755482
lambda,0.003306807,-0.047178845,-0.043737266,-0.015694166,0.503709858,-0.025736424
luce,-0.001524917,-0.00928557,-0.017221368,-0.001755482,-0.025736424,0.040296975
alpha,0.001694323,0.000360333,-0.000631366,0.001025626,0.016877073,-0.004279339
beta,0.000360333,0.002868464,0.000710996,0.001375467,-0.033645994,-0.000159103
gamma,-0.000631366,0.000710996,0.004885187,-0.000614248,-0.011955424,-8.11E-05
delta,0.001025626,0.001375467,-0.000614248,0.00828566,-0.030530701,-0.003069252
lambda,0.016877073,-0.033645994,-0.011955424,-0.030530701,0.874093972,-0.059890246
luce,-0.004279339,-0.000159103,-8.11E-05,-0.003069252,-0.059890246,0.033316688
alpha,0.03310648,-0.001160351,-0.015528102,0.000831143,0.009622038,-0.006832652
beta,-0.001160351,0.008968782,0.007448595,-0.001311411,-0.041575245,-0.005684185
gamma,-0.015528102,0.007448595,0.063215575,-0.000561459,0.001222788,-0.014212666
delta,0.000831143,-0.001311411,-0.000561459,0.000764425,-0.005630248,-0.002098621
lambda,0.009622038,-0.041575245,0.001222788,-0.005630248,1.070439472,-0.063087268
luce,-0.006832652,-0.005684185,-0.014212666,-0.002098621,-0.063087268,0.08045269
alpha,0.023968056,0.001377579,-0.018902864,0.000965566,0.003309737,-0.002776311
beta,0.001377579,0.002082099,0.00175909,-0.000291115,-0.0100889,-0.002243252
gamma,-0.018902864,0.00175909,0.063927058,-0.004577625,-0.028174337,-0.003594278
delta,0.000965566,-0.000291115,-0.004577625,0.008824302,-0.004006633,-0.0017348
lambda,0.003309737,-0.0100889,-0.028174337,-0.004006633,0.27463018,-0.006297037
luce,-0.002776311,-0.002243252,-0.003594278,-0.0017348,-0.006297037,0.020178651
alpha,0.001494912,-4.98E-05,8.37E-05,0.000598808,0.009102029,-0.003940248
beta,-4.98E-05,0.002184246,0.000268814,-0.000390202,-0.025256914,-0.000169403
gamma,8.37E-05,0.000268814,0.002654054,-0.000153795,0.001667784,-0.000915401
delta,0.000598808,-0.000390202,-0.000153795,0.001625509,-0.015226789,0.000164742
lambda,0.009102029,-0.025256914,0.001667784,-0.015226789,0.806467448,-0.056320771
luce,-0.003940248,-0.000169403,-0.000915401,0.000164742,-0.056320771,0.058412212
alpha,0.006803989,0.003431394,-0.00098593,0.001855247,0.027810748,-0.013826279
beta,0.003431394,0.005819137,0.001663565,0.001016248,-0.031018289,-0.005390236
gamma,-0.00098593,0.001663565,0.020439181,-0.002197396,-0.0217233,-0.002470423
delta,0.001855247,0.001016248,-0.002197396,0.0090884,-0.005372549,-0.003922935
lambda,0.027810748,-0.031018289,-0.0217233,-0.005372549,0.999734192,-0.147223949
luce,-0.013826279,-0.005390236,-0.002470423,-0.003922935,-0.147223949,0.064127268
alpha,0.008221834,-0.000379088,-0.004769004,0.000337298,0.037493523,-0.00846219
beta,-0.000379088,0.002618431,0.00090773,9.61E-05,-0.0280811,-0.001846245
gamma,-0.004769004,0.00090773,0.006966935,0.000157169,-0.000557652,-0.004201331
delta,0.000337298,9.61E-05,0.000157169,0.000301095,-0.001376309,-0.001095609
lambda,0.037493523,-0.0280811,-0.000557652,-0.001376309,0.977420331,-0.133234455
luce,-0.00846219,-0.001846245,-0.004201331,-0.001095609,-0.133234455,0.073669759
alpha,0.060669287,-0.000769619,-0.035058175,-7.55E-05,0.005051262,0.00196168
beta,-0.000769619,0.000887529,0.002092914,7.15E-05,-0.003713426,-0.000805132
gamma,-0.035058175,0.002092914,0.085912021,-0.000324498,0.014241247,-0.010199274
delta,-7.55E-05,7.15E-05,-0.000324498,0.000577293,-0.003840433,-0.000929919
lambda,0.005051262,-0.003713426,0.014241247,-0.003840433,0.839750527,-0.117690544
luce,0.00196168,-0.000805132,-0.010199274,-0.000929919,-0.117690544,0.070720804
alpha,0.022677554,-0.003433983,-0.01461925,0.006390395,0.020432974,-0.008217575
beta,-0.003433983,0.031811644,0.008810547,-0.01200876,-0.040879366,-0.001651401
gamma,-0.01461925,0.008810547,0.030347069,-0.007499356,-0.02535995,-0.005946009
delta,0.006390395,-0.01200876,-0.007499356,0.01545599,-0.022187791,-0.00822081
lambda,0.020432974,-0.040879366,-0.02535995,-0.022187791,1.278369749,-0.02173115
luce,-0.008217575,-0.001651401,-0.005946009,-0.00822081,-0.02173115,0.07777302
alpha,0.076469173,-0.003403972,-0.026227181,-0.000137162,-0.00605455,0.010986877
beta,-0.003403972,0.059322902,0.005515764,-0.011133703,-0.039069063,-0.010323636
gamma,-0.026227181,0.005515764,0.044417513,-0.00036581,0.012836981,-0.017061181
delta,-0.000137162,-0.011133703,-0.00036581,0.006893408,-0.009568611,-0.001124009
lambda,-0.00605455,-0.039069063,0.012836981,-0.009568611,1.303130137,-0.014518679
luce,0.010986877,-0.010323636,-0.017061181,-0.001124009,-0.014518679,0.083262646
alpha,0.009212407,0.001073709,-0.001518272,0.000875873,0.013159139,-0.002296638
beta,0.001073709,0.001658974,0.002546946,0.000770515,-0.011536947,-0.001227214
gamma,-0.001518272,0.002546946,0.030811375,-0.001103126,-0.004129828,-0.001922331
delta,0.000875873,0.000770515,-0.001103126,0.001248998,-0.002092974,-0.001053514
lambda,0.013159139,-0.011536947,-0.004129828,-0.002092974,0.520609531,-0.023443162
luce,-0.002296638,-0.001227214,-0.001922331,-0.001053514,-0.023443162,0.032786913
alpha,0.004189757,-0.003142212,-0.001747207,0.006050398,-0.00624965,-0.012219417
beta,-0.003142212,0.064196791,0.002893482,-0.024038519,0.007233091,0.004005707
gamma,-0.001747207,0.002893482,0.003558833,-0.003234074,-0.000100821,-0.001331434
delta,0.006050398,-0.024038519,-0.003234074,0.036517103,-0.050845226,-0.014433297
