,delta,sd,2.5%,25%,50%,75%,97.5%
deltaTemp,0.332395579,0.029082505,0.277170008,0.312213246,0.331855235,0.352015529,0.389899847
deltaTemp,0.28242835,0.252378153,0.008300831,0.096505101,0.192547799,0.39919592,0.9228041
deltaTemp,0.109507558,0.14576918,0.004725043,0.037228896,0.070973574,0.117870113,0.671603431
deltaTemp,0.270466155,0.211391835,0.014759972,0.126156255,0.216293973,0.349225859,0.888369955
deltaTemp,0.948128236,0.04062913,0.846240221,0.926526754,0.957541325,0.9801629,0.998599071
deltaTemp,0.656381724,0.166674276,0.357880308,0.532329565,0.650283922,0.7763651,0.970747588
deltaTemp,0.580514697,0.017355386,0.542957334,0.569938404,0.582442858,0.59264064,0.609927718
deltaTemp,0.393864882,0.02903858,0.344305594,0.372472508,0.392076544,0.412070581,0.457153372
deltaTemp,0.785315543,0.077756452,0.650735704,0.727684819,0.780670202,0.8370774,0.954395343
deltaTemp,0.591050105,0.14624904,0.338673715,0.487798881,0.577699715,0.683542955,0.911000058
deltaTemp,0.923137645,0.051235738,0.813712984,0.887931503,0.930056552,0.965987341,0.996729042
deltaTemp,0.630037094,0.03542689,0.5570602,0.607850543,0.630858184,0.65408704,0.695914783
deltaTemp,0.737078378,0.050131868,0.646672163,0.703432564,0.732429693,0.768641425,0.844956414
deltaTemp,0.327534712,0.076485166,0.182380673,0.283920694,0.326616007,0.370886242,0.486376007
deltaTemp,0.208323768,0.046173394,0.144569242,0.173765605,0.199689412,0.234557616,0.320633992
deltaTemp,0.174199653,0.028231153,0.13111631,0.15345669,0.169851291,0.191391603,0.239954439
deltaTemp,0.153394091,0.128976596,0.007236624,0.059797573,0.120761878,0.215184278,0.479165386
deltaTemp,0.914109911,0.045473202,0.823685758,0.883558747,0.915175897,0.948917281,0.992249031
deltaTemp,0.195968325,0.178257816,0.007662212,0.067801056,0.139521753,0.274977007,0.70281042
deltaTemp,0.856976378,0.076124414,0.711136604,0.800659798,0.856833505,0.915603149,0.992403147
deltaTemp,0.350284965,0.25323806,0.016284436,0.151106331,0.289905384,0.502620088,0.926772952
deltaTemp,0.691451932,0.121985076,0.487449388,0.599301624,0.67935556,0.773274052,0.958230864
deltaTemp,0.493623073,0.038699118,0.422206197,0.466346769,0.491778087,0.519229406,0.574072984
deltaTemp,0.36314436,0.027754086,0.315529544,0.34342447,0.360783842,0.380382111,0.423994669
deltaTemp,0.793239941,0.114708971,0.56985126,0.710273626,0.798187143,0.881364637,0.984112731
deltaTemp,0.358131658,0.266567647,0.018793044,0.148181146,0.283646142,0.509567789,0.951837596
