"","alpha","beta","gamma","delta","lambda","luce"
"delta",0.000932934048238208,0.00153161375761033,-0.000757433213914079,0.0118479925490091,-0.024009894256879,-0.00334466786268063
"lambda",0.0315876032365056,-0.0417716684573056,-0.0490745603944869,-0.024009894256879,1.00866750619047,-0.136341949237327
"luce",-0.00154706509147147,-0.006297924763161,-0.0189250279593329,-0.00334466786268063,-0.136341949237327,0.0766357694212113
"alpha",0.0560977852522159,-0.00274515593590558,-0.0246163759622806,0.000723527528131235,0.0447451615379801,-0.00127098378129113
"beta",-0.00274515593590558,0.00341552775558654,0.00371032648099478,0.000315729204894193,-0.0330038710598328,-0.00549717335801441
"gamma",-0.0246163759622806,0.00371032648099478,0.0426442288830513,-0.000266029241185491,-0.0182293558187818,-0.00918781694354449
"delta",0.000723527528131235,0.000315729204894193,-0.000266029241185491,0.000483377134573753,-0.00754552555421555,-0.00146496961129914
"lambda",0.0447451615379801,-0.0330038710598328,-0.0182293558187818,-0.00754552555421555,1.08443259737393,-0.107446047432772
"luce",-0.00127098378129113,-0.00549717335801441,-0.00918781694354449,-0.00146496961129914,-0.107446047432772,0.0769269448123173
"alpha",0.0492024200161752,-6.8719871292831e-05,-0.0229160031177275,0.000106713910914788,0.00852954970398031,-0.00172501025554647
"beta",-6.8719871292831e-05,0.00115942625190047,0.00291000888215739,0.000993249432851938,-0.0103049010134184,-0.00172356107259938
"gamma",-0.0229160031177275,0.00291000888215739,0.0883359803903208,-0.000480686199830244,-0.0228782868388473,-0.00442671755725915
"delta",0.000106713910914788,0.000993249432851938,-0.000480686199830244,0.00175018416646989,-0.00968999640828499,-0.00270384964037677
"lambda",0.00852954970398031,-0.0103049010134184,-0.0228782868388473,-0.00968999640828499,0.621779724546933,-0.0316837633294543
"luce",-0.00172501025554647,-0.00172356107259938,-0.00442671755725915,-0.00270384964037677,-0.0316837633294543,0.0519659448141833
"alpha",0.0398565014946841,-0.00288057695287605,-0.0289591674594162,0.00253338756956459,0.0197246695869346,-0.00638414021567064
"beta",-0.00288057695287605,0.007553290751532,0.0112199567771669,-0.00154909807526103,-0.0380199268214351,-0.00648903518933228
"gamma",-0.0289591674594162,0.0112199567771669,0.0682785952935143,-0.0038033320151804,-0.0326307585380191,-0.00871464164249447
"delta",0.00253338756956459,-0.00154909807526103,-0.0038033320151804,0.00167663385424904,-0.00531781978468213,-0.00309670534191847
"lambda",0.0197246695869346,-0.0380199268214351,-0.0326307585380191,-0.00531781978468213,0.915480455258129,-0.0208111240310884
"luce",-0.00638414021567064,-0.00648903518933228,-0.00871464164249447,-0.00309670534191847,-0.0208111240310884,0.072733866939232
"alpha",0.0563181981348694,-0.000594678453510664,-0.026440733788279,-0.000543089976936338,-0.000428665929676488,0.00120344231740257
"beta",-0.000594678453510664,0.00154289726965366,0.00211519045642727,0.000730813020825256,-0.00468445946666944,-0.00230667680600882
"gamma",-0.026440733788279,0.00211519045642727,0.0705351196740712,-0.00202650513316749,0.0036210494373938,-0.00713090902974233
"delta",-0.000543089976936338,0.000730813020825256,-0.00202650513316749,0.00258931405897405,-0.00103108339471519,-0.000834715190455671
"lambda",-0.000428665929676488,-0.00468445946666944,0.0036210494373938,-0.00103108339471519,0.15172959180066,-0.0301683803719315
"luce",0.00120344231740257,-0.00230667680600882,-0.00713090902974233,-0.000834715190455671,-0.0301683803719315,0.0320741710985094
"alpha",0.029815486499548,0.00170634842613184,-0.0192627336358459,0.00469129725518311,0.0278206211174978,-0.00730180342746416
"beta",0.00170634842613184,0.00765666363576999,0.00569070745742854,4.52406718623488e-05,-0.0449105380553227,-0.0070514481436171
"gamma",-0.0192627336358459,0.00569070745742854,0.0650744694390472,-0.00517056648269771,-0.0753681940288905,-0.0134861588895281
"delta",0.00469129725518311,4.52406718623488e-05,-0.00517056648269771,0.0198040899716106,-0.0217151654250478,-0.0100037429759975
"lambda",0.0278206211174978,-0.0449105380553227,-0.0753681940288905,-0.0217151654250478,1.17227159135703,-0.070772249175587
"luce",-0.00730180342746416,-0.0070514481436171,-0.0134861588895281,-0.0100037429759975,-0.070772249175587,0.0668249122501742
"alpha",0.00420503935756913,-0.000682564907792227,-0.00101100418833947,0.00231701663425244,0.00146106272181872,-0.0121730515248005
