"","beta","delta","lambdaluce"
"beta",0.0696890675858589,-0.0025116079849634,-0.107913511652882
"delta",-0.0025116079849634,0.00665970880440695,-0.00259224974770681
"lambdaluce",-0.107913511652882,-0.00259224974770681,1.83150812804766
"beta",0.0273953616697161,-0.000927407010930807,-0.0775824683840584
"delta",-0.000927407010930807,0.0131124254835575,0.0270614022386602
"lambdaluce",-0.0775824683840584,0.0270614022386602,1.82183676922618
"beta",0.0268006016392668,-0.00386237364330625,-0.0334768119442318
"delta",-0.00386237364330625,0.00326270456393754,0.0219353755027639
"lambdaluce",-0.0334768119442318,0.0219353755027639,1.77690992973762
"beta",0.0411125838933356,-0.00989715590985932,-0.0564175915022703
"delta",-0.00989715590985932,0.00745207578499095,0.0107668093228359
"lambdaluce",-0.0564175915022703,0.0107668093228359,1.73038804211252
"beta",0.0581289938083247,-0.00842582982829163,-0.127553678865763
"delta",-0.00842582982829163,0.0186258297379457,0.0310696209371911
"lambdaluce",-0.127553678865763,0.0310696209371911,1.31626733959902
"beta",0.0396449436682372,-0.000903505350167498,-0.0875133265734536
"delta",-0.000903505350167498,0.0120064164409744,0.0305627916359116
"lambdaluce",-0.0875133265734536,0.0305627916359116,0.659727843182827
"beta",0.0725719927184907,-0.00171479127576736,-0.101504256290297
"delta",-0.00171479127576736,0.00638405871429453,-0.00575421786765991
"lambdaluce",-0.101504256290297,-0.00575421786765991,1.75889176559251
"beta",0.0755041062503257,-0.00240309512896643,-0.0798144844240664
"delta",-0.00240309512896643,0.00415684508886607,-0.00398860279272579
"lambdaluce",-0.0798144844240664,-0.00398860279272579,1.70150203013163
"beta",0.0203357101329201,0.000447934266278333,-0.0221473530024248
"delta",0.000447934266278333,0.00824551592716011,0.0256947125046622
"lambdaluce",-0.0221473530024248,0.0256947125046622,1.28237217585775
"beta",0.0682084463110372,-0.000617615404309811,-0.13605662545147
"delta",-0.000617615404309811,0.00783701541515694,0.011491871345132
"lambdaluce",-0.13605662545147,0.011491871345132,0.827933723587148
"beta",0.0730225285273075,-0.000739346448753714,-0.0879339708163256
"delta",-0.000739346448753714,0.00331964361261642,-0.00655358810251353
"lambdaluce",-0.0879339708163256,-0.00655358810251353,1.77474285521528
"beta",0.04544196773635,-0.00144460900513862,-0.0687747876061207
"delta",-0.00144460900513862,0.0229165788932903,0.011290542377753
"lambdaluce",-0.0687747876061207,0.011290542377753,0.438136402572283
"beta",0.0627984260402375,-0.00338655589018902,-0.1744070281185
"delta",-0.00338655589018902,0.00647464899888923,0.044530377434155
"lambdaluce",-0.1744070281185,0.044530377434155,1.83475192379923
"beta",0.0710086357418242,-0.00391149501548148,-0.0876933588039861
"delta",-0.00391149501548148,0.00653539990588446,-0.00344059946206528
"lambdaluce",-0.0876933588039861,-0.00344059946206528,1.60282825456305
"beta",0.0550878710959226,-0.00877523566765114,-0.136519657408421
"delta",-0.00877523566765114,0.0224054160491492,0.054728182007892
"lambdaluce",-0.136519657408421,0.054728182007892,1.43619181576536
"beta",0.0496354081773005,-0.00256762444017897,-0.177410961351989
"delta",-0.00256762444017897,0.0196031134671402,0.0537450076592515
"lambdaluce",-0.177410961351989,0.0537450076592515,2.0488424255698
"beta",0.0425270436557914,-0.00931945502363311,-0.142973739647176
"delta",-0.00931945502363311,0.0224396782769457,0.059251815834435
"lambdaluce",-0.142973739647176,0.059251815834435,1.70274169123016
"beta",0.0712671188290963,0.000106757058335526,-0.102669423672999
"delta",0.000106757058335526,0.0118623352914121,0.0152059297941476
"lambdaluce",-0.102669423672999,0.0152059297941476,0.555290528476666
"beta",0.0365228575321555,-0.00426937760729233,-0.0742570305840927
"delta",-0.00426937760729233,0.0311701454522491,0.0212432166310074
"lambdaluce",-0.0742570305840927,0.0212432166310074,0.609266952680973
"beta",0.0574926280777829,-0.00618879011680508,-0.173245340092649
